source_path,source_module,source_role,target_path,target_module,target_role,line,import_kind,architecture_flag
experiments/diagnostics/fig9_intracolumn_selector.py,experiments.diagnostics.fig9_intracolumn_selector,diagnostic,experiments/diagnostics/fig9_ambiguity.py,experiments.diagnostics.fig9_ambiguity,diagnostic,13,from,
experiments/diagnostics/fig9_intracolumn_selector.py,experiments.diagnostics.fig9_intracolumn_selector,diagnostic,experiments/diagnostics/fig9_oracle_candidate.py,experiments.diagnostics.fig9_oracle_candidate,diagnostic,14,from,
experiments/diagnostics/fig9_intracolumn_selector.py,experiments.diagnostics.fig9_intracolumn_selector,diagnostic,src/seqmem/model.py,seqmem.model,core,15,from,
experiments/diagnostics/fig9_match_overlap.py,experiments.diagnostics.fig9_match_overlap,diagnostic,experiments/diagnostics/fig9_branch_provenance.py,experiments.diagnostics.fig9_branch_provenance,diagnostic,18,from,
experiments/diagnostics/fig9_match_overlap.py,experiments.diagnostics.fig9_match_overlap,diagnostic,experiments/diagnostics/fig9_candidate_score_trace.py,experiments.diagnostics.fig9_candidate_score_trace,diagnostic,21,from,
experiments/diagnostics/fig9_match_overlap.py,experiments.diagnostics.fig9_match_overlap,diagnostic,experiments/diagnostics/fig9_oracle_candidate.py,experiments.diagnostics.fig9_oracle_candidate,diagnostic,22,from,
experiments/diagnostics/fig9_match_overlap.py,experiments.diagnostics.fig9_match_overlap,diagnostic,experiments/fig9/__init__.py,experiments.fig9,experiment,23,from,
experiments/diagnostics/fig9_match_overlap.py,experiments.diagnostics.fig9_match_overlap,diagnostic,src/seqmem/encoding.py,seqmem.encoding,core,24,from,
experiments/diagnostics/fig9_match_overlap.py,experiments.diagnostics.fig9_match_overlap,diagnostic,src/seqmem/model.py,seqmem.model,core,25,from,
experiments/diagnostics/fig9_oracle_candidate.py,experiments.diagnostics.fig9_oracle_candidate,diagnostic,experiments/diagnostics/fig9_competitive_inhibition.py,experiments.diagnostics.fig9_competitive_inhibition,diagnostic,21,from,
experiments/diagnostics/fig9_oracle_candidate.py,experiments.diagnostics.fig9_oracle_candidate,diagnostic,src/seqmem/encoding.py,seqmem.encoding,core,22,from,
experiments/diagnostics/fig9_preselection_segments.py,experiments.diagnostics.fig9_preselection_segments,diagnostic,experiments/diagnostics/fig9_branch_provenance.py,experiments.diagnostics.fig9_branch_provenance,diagnostic,10,from,
experiments/diagnostics/fig9_preselection_segments.py,experiments.diagnostics.fig9_preselection_segments,diagnostic,experiments/diagnostics/fig9_candidate_score_trace.py,experiments.diagnostics.fig9_candidate_score_trace,diagnostic,14,from,
experiments/diagnostics/fig9_preselection_segments.py,experiments.diagnostics.fig9_preselection_segments,diagnostic,experiments/diagnostics/fig9_competitive_inhibition.py,experiments.diagnostics.fig9_competitive_inhibition,diagnostic,15,from,
